"","code2010","municipality","uf"
"1","1300409","Barcellos","13"
"2","1302603","Manaos","13"
"3","5102504","Villa Maria","51"
"4","5103403","Cuyaba","51"
"5","5103502","Diamantino","51"
"6","5105507","Matto Grosso","51"
"7","5107701","Rosario do Rio Acima","51"
"8","1302900","Maues","13"
"9","1301902","Serpa","13"
"10","1304005","Silves","13"
"11","1304203","Teffe","13"
"12","1303403","Villa Bella da Imperatriz","13"
"13","5003207","Corumba","50"
"14","5005608","Miranda","50"
"15","5106505","Pocone","51"
"16","5006309","Sant'Anna do Paranahyba","50"
"17","1500404","Alemquer","15"
"18","1501204","Bayao","15"
"19","1501402","Bethlem","15"
"20","1501709","Braganca","15"
"21","1501808","Breves","15"
"22","1502004","Cachoeira","15"
"23","1502103","Cameta","15"
"24","1502509","Chaves","15"
"25","1502806","Curralinho","15"
"26","1502905","Curuca","15"
"27","1503101","Gurupa","15"
"28","1503309","Igarape-mirim","15"
"29","1504307","Cintra","15"
"30","1504505","Melgaco","15"
"31","1504703","Moju","15"
"32","1504802","Monte Alegre","15"
"33","1504901","Muana","15"
"34","1505205","Oeiras","15"
"35","1505403","Ourem","15"
"36","1505809","Portel","15"
"37","1505908","Porto de Moz","15"
"38","1508209","Vigia","15"
"39","1508308","Vizeu","15"
"40","1503002","Faro","15"
"41","1505106","Obidos","15"
"42","1503606","Itaituba","15"
"43","1506807","Santarem","15"
"44","1599904","Villa Franca","15"
"45","1506302","Monsaras","15"
"46","1507904","Soure","15"
"47","1600303","Macapa, PA","16"
"48","1600402","Masagao, PA","16"
"49","2100204","Alcantara","21"
"50","2100709","Anajatuba","21"
"51","2101004","Arary","21"
"52","2101707","Barreirinhas","21"
"53","2102101","Brejo","21"
"54","2110609","Sao Bernardo","21"
"55","2102804","Carolina","21"
"56","2103000","Caxias","21"
"57","2103208","Chapada","21"
"58","2101608","Barra do Corda","21"
"59","2103307","Codo","21"
"60","2103505","Picos","21"
"61","2103604","Coroata","21"
"62","2105401","Itapecuru-mirim","21"
"63","2106706","Mirador","21"
"64","2106904","Moncao","21"
"65","2107803","Sao Jose dos Mattoes","21"
"66","2111409","Sao Luiz Gonzaga","21"
"67","2112902","Mearim","21"
"68","2103703","Cururupu","21"
"69","2104909","Guimaraes","21"
"70","2105104","Icatu","21"
"71","2105005","Miritiba","21"
"72","2108306","Penalva","21"
"73","2109502","Riachao","21"
"74","2109601","Rosario","21"
"75","2108603","Santo Ignacio do Pinheiro","21"
"76","2109809","Santa Helena","21"
"77","2110906","Sao Francisco","21"
"78","2107506","Paco do Lumiar","21"
"79","2111300","Sao Luiz","21"
"80","2105302","Imperatriz","21"
"81","2112407","Tury-assu","21"
"82","2112704","Vargem Grande","21"
"83","2110500","Sao Bento","21"
"84","2111706","Sao Vicente Ferrer","21"
"85","2112803","Vianna","21"
"86","2200509","Amarante","22"
"87","2205201","Jaicos","22"
"88","2207009","Oeiras","22"
"89","2208007","Picos","22"
"90","2210003","Sao Joao do Piauhy","22"
"91","2202208","Campo Maior","22"
"92","2201903","Gurgueia","22"
"93","2205300","Jeromenha","22"
"94","2203909","Manga","22"
"95","2202604","Marvao","22"
"96","2207603","Parnagua","22"
"97","2207900","Pedro II","22"
"98","2210607","Sao Raymundo Nonnato","22"
"99","2211001","Terezina","22"
"100","2211308","Valenca","22"
"101","2211100","Uniao","22"
"102","2300200","Acaracu","23"
"103","2311603","Acarape","23"
"104","2301109","Aracaty","23"
"105","2301901","Barbalha","23"
"106","2302107","Baturite","23"
"107","2302800","Caninde","23"
"108","2301000","Aquiraz","23"
"109","2303501","Cascavel","23"
"110","2309706","Pacatuba","23"
"111","2304202","Crato","23"
"112","2304400","Fortaleza","23"
"113","2201200","Barras","22"
"114","2201507","Batalha","22"
"115","2207702","Parnahyba","22"
"116","2208304","Piracuruca","22"
"117","2304707","Granja","23"
"118","2305407","Ico","23"
"119","2306405","Imperatriz","23"
"120","2305803","Ipu","23"
"121","2312205","Santa Quiteria","23"
"122","2313203","Tamboril","23"
"123","2306900","Jaguaribe-mirim","23"
"124","2310803","Pereiro","23"
"125","2313005","Cachoeira","23"
"126","2307106","Jardim","23"
"127","2307502","Lavras","23"
"128","2307601","Limoeiro","23"
"129","2307700","Maranguape","23"
"130","2308500","Maria Pereira","23"
"131","2308302","Milagres","23"
"132","2308401","Missao Velha","23"
"133","2310209","Paracuru","23"
"134","2304103","Principe Imperial, PI","23"
"135","2305605","Independencia, PI","23"
"136","2311306","Quixada","23"
"137","2302404","Boa Viagem","23"
"138","2311405","Quixeramobim","23"
"139","2304004","Palma","23"
"140","2312007","Sant'Anna do Acaracu","23"
"141","2312908","Sobral","23"
"142","2311801","Sao Bernardo das Russas","23"
"143","2306306","Sao Francisco da Umburetama","23"
"144","2310704","Pentecoste","23"
"145","2301505","Arneiroz","23"
"146","2313302","Sao Joao do Principe","23"
"147","2301604","Assare","23"
"148","2307403","Sao Matheus","23"
"149","2311900","Saboeiro","23"
"150","2305506","Telha","23"
"151","2307007","Uniao","23"
"152","2314003","Varzea Alegre","23"
"153","2314102","Vicosa","23"
"154","2401008","Apody","24"
"155","2402204","Canguaretama","24"
"156","2402303","Caraubas","24"
"157","2404200","Goyanninha","24"
"158","2407401","Imperatriz","24"
"159","2409407","Pao dos Ferros","24"
"160","2405702","Jardim","24"
"161","2400109","Acary","24"
"162","2400802","Angicos","24"
"163","2402600","Ceara-Mirim","24"
"164","2412203","Sao Jose de Mipibu","24"
"165","2414407","Touros","24"
"166","2407203","Macau","24"
"167","2408102","Natal","24"
"168","2408300","Nova Cruz","24"
"169","2408201","Papary","24"
"170","2410207","Porto Alegre","24"
"171","2402006","Principe","24"
"172","2411403","Sant'Anna de Mattos","24"
"173","2400208","Assu","24"
"174","2408003","Santa Luzia de Mossoro","24"
"175","2401305","Triumpho","24"
"176","2500304","Alagoa Grande","25"
"177","2500403","Alagoa Nova","25"
"178","2509701","Alagoa do Monteiro","25"
"179","2501104","Areia","25"
"180","2501500","Bananeiras","25"
"181","2503100","Cabaceiras","25"
"182","2503704","Cajazeiras","25"
"183","2504009","Campina Grande","25"
"184","2504306","Catole do Rocha","25"
"185","2505105","Cuite","25"
"186","2506301","Independencia","25"
"187","2508901","Mamanguape","25"
"188","2507002","Misericordia","25"
"189","2500601","Alhandra","25"
"190","2507507","Parahyba","25"
"191","2510808","Patos","25"
"192","2511202","Pedras de Fogo","25"
"193","2511301","Pianco","25"
"194","2506806","Inga","25"
"195","2511509","Pilar","25"
"196","2512101","Pombal","25"
"197","2513406","Santa Luzia","25"
"198","2514008","Sao Joao","25"
"199","2516201","Sousa","25"
"200","2600401","Agua-Preta","26"
"201","2600500","Aguas Bellas","26"
"202","2601409","Barreiros","26"
"203","2601904","Bezerros","26"
"204","2612604","Boa Vista","26"
"205","2602100","Bom Conselho","26"
